word,vector
"патом
",[17.  1. 20. 16. 14.  0.]
"вальс
",[ 3.  1. 13. 28. 19.  0.]
"вялом
",[ 3. 33. 13. 16. 14.  0.]
"лысым
",[13. 29. 19. 29. 14.  0.]
"щурят
",[27. 21. 18. 33. 20.  0.]
"слюну
",[19. 13. 32. 15. 21.  0.]
"унизь
",[21. 15. 10.  9. 28.  0.]
"вноса
",[ 3. 15. 16. 19.  1.  0.]
"парез
",[17.  1. 18.  6.  9.  0.]
"кричу
",[12. 18. 10. 25. 21.  0.]
"тулей
",[20. 21. 13.  6. 11.  0.]
"митру
",[14. 10. 20. 18. 21.  0.]
"волше
",[ 3. 16. 13. 26.  6.  0.]
"бузун
",[ 2. 21.  9. 21. 15.  0.]
"чучхе
",[25. 21. 25. 23.  6.  0.]
"отпор
",[16. 20. 17. 16. 18.  0.]
"лапою
",[13.  1. 17. 16. 32.  0.]
"хорах
",[23. 16. 18.  1. 23.  0.]
"купка
",[12. 21. 17. 12.  1.  0.]
"опоек
",[16. 17. 16.  6. 12.  0.]
"тэкое
",[20. 31. 12. 16.  6.  0.]
"лютей
",[13. 32. 20.  6. 11.  0.]
"лицам
",[13. 10. 24.  1. 14.  0.]
"своры
",[19.  3. 16. 18. 29.  0.]
"таври
",[20.  1.  3. 18. 10.  0.]
"пайке
",[17.  1. 11. 12.  6.  0.]
"плаха
",[17. 13.  1. 23.  1.  0.]
"лучше
",[13. 21. 25. 26.  6.  0.]
"жеоды
",[ 8.  6. 16.  5. 29.  0.]
"писка
",[17. 10. 19. 12.  1.  0.]
"камыш
",[12.  1. 14. 29. 26.  0.]
"опить
",[16. 17. 10. 20. 28.  0.]
"артек
",[ 1. 18. 20.  6. 12.  0.]
"ариям
",[ 1. 18. 10. 33. 14.  0.]
"фомин
",[22. 16. 14. 10. 15.  0.]
"затво
",[ 9.  1. 20.  3. 16.  0.]
"стягу
",[19. 20. 33.  4. 21.  0.]
"луизы
",[13. 21. 10.  9. 29.  0.]
"бодры
",[ 2. 16.  5. 18. 29.  0.]
"керру
",[12.  6. 18. 18. 21.  0.]
"бланш
",[ 2. 13.  1. 15. 26.  0.]
"ложку
",[13. 16.  8. 12. 21.  0.]
"яузою
",[33. 21.  9. 16. 32.  0.]
"вымыл
",[ 3. 29. 14. 29. 13.  0.]
